session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H2_lateral_point_steps_20251205_023615,34716.0,-9.016,0.756,-4.085,-9.028,0.756,-4.046,2.24,1.26,0.77,-0.2216788461538446,-0.22796730769230855,-0.3526923076923074,0.14037692307692307,0.14866346153846155,-0.12330769230769212,0.4567538461538465,0.4858807692307687,-0.004846153846153722,0.5267554151036095,0.5569111599540458,0.5484199091317634,0.5472020722427323,0.0,0.584717632451918,0.0,0.30143718139185166
H2_lateral_point_steps_20251205_023615,,-9.026,0.778,-4.109,-8.997,0.689,-4.061,2.1,1.33,0.7,-0.23167884615384438,-0.19696730769230797,-0.49269230769230754,0.16237692307692309,0.08166346153846149,-0.053307692307692056,0.4327538461538465,0.47088076923076905,-0.07484615384615378,0.5170273148142684,0.5169078642092427,0.5514877972740052,0.5469013551455596,0.09099290894341622,0.6327075647872231,0.0613769970841448,0.32794383195070326
H2_lateral_point_steps_20251205_023615,,-9.005,0.742,-4.044,-9.024,0.744,-4.008,1.96,1.26,0.7,-0.21067884615384536,-0.22396730769230722,-0.6326923076923077,0.12637692307692305,0.13666346153846154,-0.12330769230769212,0.4977538461538469,0.523880769230769,-0.07484615384615378,0.5550816104538626,0.5859089664823687,0.552610240244742,0.5460895532430305,0.18679367815994855,0.680554391947364,0.11590239022500559,0.35476014809431955
H2_lateral_point_steps_20251205_023615,,-9.038,0.689,-4.042,-8.985,0.782,-4.07,2.03,1.05,0.77,-0.24367884615384483,-0.18496730769230751,-0.5626923076923078,0.073376923076923,0.17466346153846157,-0.3333076923076921,0.49975384615384666,0.4618807692307687,-0.004846153846153722,0.5608185621470356,0.5273083298192293,0.5490053872650118,0.5481331448417932,0.29405889229411586,0.728001127241502,0.14559259649762332,0.3822250441845223
H2_lateral_point_steps_20251205_023615,34791.0,-9.038,0.744,-4.018,-9.021,0.73,-3.984,2.38,1.26,0.91,-0.24367884615384483,-0.22096730769230888,-0.21269230769230774,0.12837692307692306,0.12266346153846153,-0.12330769230769212,0.5237538461538467,0.547880769230769,0.1351538461538463,0.5917584860418267,0.603362422726411,0.5507863106405995,0.5469534743874839,0.39269288462940355,0.7755254515325987,0.19487288028610938,0.4096187516054297
H2_lateral_point_steps_20251205_023615,,-9.016,0.744,-4.022,-9.045,0.696,-4.058,2.59,1.19,0.84,-0.2216788461538446,-0.244967307692308,-0.0026923076923077716,0.12837692307692306,0.0886634615384615,-0.19330769230769218,0.5197538461538462,0.47388076923076916,0.06515384615384623,0.5794533681000691,0.5407709077758767,0.55051717052886,0.5453775936542415,0.4888107634542931,0.8229796386032694,0.24787485692879468,0.43715439716924365
H2_lateral_point_steps_20251205_023615,,-9.009,0.73,-4.008,-9.043,0.751,-4.037,2.73,1.4,0.98,-0.21467884615384492,-0.24296730769230734,0.13730769230769235,0.11437692307692304,0.14366346153846155,0.016692307692307784,0.5337538461538465,0.49488076923076907,0.20515384615384624,0.5865682021747468,0.5697185959251279,0.5474740284580296,0.5450632324293773,0.5873880904237432,0.8692778470172248,0.29742335670712144,0.4660564466357241
H2_lateral_point_steps_20251205_023615,,-9.048,0.699,-3.984,-9.0,0.768,-4.056,2.73,1.47,0.91,-0.2536788461538446,-0.19996730769230808,0.13730769230769235,0.08337692307692302,0.16066346153846156,0.08669230769230785,0.5577538461538465,0.47588076923076894,0.1351538461538463,0.61838015911503,0.5406127805952236,0.5455086637024229,0.543555990652904,0.6937346184625878,0.9152722203392942,0.32945146832576405,0.4954285268548902
H2_lateral_point_steps_20251205_023615,34867.0,-9.038,0.778,-4.147,-9.012,0.771,-4.075,2.52,1.61,0.7,-0.24367884615384483,-0.21196730769230854,-0.07269230769230761,0.16237692307692309,0.16366346153846156,0.22669230769230797,0.39475384615384623,0.4568807692307688,-0.07484615384615378,0.49150406332405094,0.5295808771717275,0.5461527764928823,0.5423367302133157,0.7867618413736315,0.9620426577510327,0.3888651556666433,0.5231033023543676
H2_lateral_point_steps_20251205_023615,,-9.014,0.754,-4.116,-8.993,0.718,-4.042,2.24,1.61,0.56,-0.21967884615384392,-0.1929673076923084,-0.3526923076923074,0.13837692307692306,0.11066346153846152,0.22669230769230797,0.4257538461538468,0.4898807692307692,-0.2148461538461537,0.4986715409991976,0.5380204007468701,0.5466994027417674,0.5430339703709409,0.8808233324597621,1.0089336822143435,0.4460906091944947,0.5507046642959221
H2_lateral_point_steps_20251205_023615,,-9.038,0.756,-4.109,-8.964,0.715,-4.046,2.38,1.54,0.7,-0.24367884615384483,-0.1639673076923085,-0.21269230769230774,0.14037692307692307,0.10766346153846151,0.1566923076923079,0.4327538461538465,0.4858807692307687,-0.07484615384615378,0.5161016876123935,0.5239816989653279,0.5450838073018486,0.5452691751882336,0.9771819176616431,1.0550858236511516,0.4997487866193554,0.5792794880939631
H2_lateral_point_steps_20251205_023615,,-8.964,0.744,-4.068,-9.048,0.744,-4.034,2.45,1.4,0.63,-0.169678846153845,-0.24796730769230813,-0.14269230769230745,0.12837692307692306,0.13666346153846154,0.016692307692307784,0.47375384615384686,0.4978807692307692,-0.14484615384615374,0.5193402082993008,0.5727564471690116,0.543528387165428,0.5465249325595519,1.0657077042016971,1.101485235424217,0.5647016428274435,0.6075629335191622
H2_lateral_point_steps_20251205_023615,34943.0,-9.007,0.766,-4.037,-9.026,0.73,-4.094,2.87,1.26,0.7,-0.21267884615384425,-0.22596730769230788,0.2773076923076925,0.15037692307692307,0.12266346153846153,-0.12330769230769212,0.5047538461538466,0.4378807692307687,-0.07484615384615378,0.5679982005275319,0.5077864876150581,0.5442371443986029,0.5455358923614031,1.156382589810692,1.1481719792389402,0.6267826177315716,0.6354499924883272
H2_lateral_point_steps_20251205_023615,,-9.048,0.739,-4.022,-9.04,0.72,-4.058,3.15,1.4,0.84,-0.2536788461538446,-0.23996730769230723,0.5573076923076923,0.12337692307692305,0.11266346153846152,0.016692307692307784,0.5197538461538462,0.47388076923076916,0.06515384615384623,0.5913703431231491,0.5429920328823143,0.5460523452525672,0.5465103645078181,1.2565766851461901,1.1953092722115728,0.6725302892157738,0.6625193056505521
